name,jurisdiction code,Display community,address,lat,lng,Additional description,id,Notes,Check / manual updates for launch
Dry Willow at Old Austin Trail,BCO,Bastrop County,"Dry Willow Rd & Old Austin Trail, Elgin, TX 78621",30.240887,-97.447853,,1970,,
Pine Shadows Rd,BCO,Bastrop County,"100 Pine Shadows Ln, Bastrop, TX 78602",30.087967,-97.263367,,1973,,
160 Lakeside Drive ,BCO,Bastrop County,"160 Lakeside Drive, Bastrop, TX 78602",30.082396,-97.260963,,1980,,
Cattlemens between Shorthorn and Herford,BCO,Bastrop County,"224 Cattlemens Dr, Bastrop, TX 78602",30.163534,-97.232414,,1981,,
P1020 Aloha Ln,BCO,Bastrop County,"151 Aloha Ln, Bastrop, TX 78602",30.099625,-97.278473,,1985,Closed due to washout,
P1021 Kahalulu Dr,BCO,Bastrop County,"200 Kahalulu Dr, Bastrop, TX 78602",30.079685,-97.276222,,1986,Closed due to damage,
P1022 Upolu Ct,BCO,Bastrop County,"1500 Upolu Ct, Bastrop, TX 78602",30.090881,-97.282806,,1987,Closed due to damage,
P1023 Koae Ct,BCO,Bastrop County,"108 Koae Ct, Bastrop, TX 78602",30.083399,-97.292572,,1988,Closed due to damage,
P1024 Alele Dr,BCO,Bastrop County,"103 Alele Dr, Bastrop, TX 78602",30.087898,-97.280731,,1989,Road is closed due to washout,
P1026 - Pahalawe Ln,BCO,Bastrop County,"129 Pahalawe Ln, Bastrop, TX 78602",30.088188,-97.281349,,1991,Road is closed due to washout,
P1026 East Keamuku Ct,BCO,Bastrop County,"800 Keamuku Ct, Bastrop, TX 78602",30.092957,-97.28418,,1992,Road is closed due to washout,
P1027 Honopu Dr,BCO,Bastrop County,"150 Honopu Dr, Bastrop, TX 78602",30.095243,-97.279228,,1993,Road is closed due to washout,
Forest Ln,BCO,Bastrop County,"162 Forest Ln, Bastrop, TX 78602",30.093979,-97.257881,,1994,Road is damaged,
Pine Hill Loop,BCO,Bastrop County,"190 Pine Hill Loop, Bastrop, TX 78602",30.09848,-97.260101,,1995,Road is open but damaged,
Lisa Ln,BCO,Bastrop County,"180 Lisa Ln, Bastrop, TX 78602",30.144388,-97.252975,,1996,,
FM 1441 Betw Daisy Ln and Old Firetower TD,BCO,Bastrop County,"884 FM1441, Bastrop, TX 78602",30.174446,-97.260147,,1998,,
Park Road 1C Near Wilderness Ridge,BCO,Bastrop County,"855 Park Rd 1C, Smithville, TX 78957",30.094656,-97.211525,,1999,Road is temporarily repaired,
Riverside just East of Keanehalululu Ln,BCO,Bastrop County,"130 Riverside Dr, Bastrop, TX 78602",30.082581,-97.327705,just East of Keanehalululu Ln,2001,Road is closed due to washout,
Kaanapali at Tall Forest,BCO,Bastrop County,"454 Kaanapali Ln, Bastrop, TX 78602",30.086445,-97.270645,,2002,Road is closed due to repair,
300 Blk Sayers Rd,BCO,Bastrop County,"300 Sayers Rd, Bastrop, TX 78602",30.156507,-97.336166,,2003,,
650 Sayers Road,BCO,Bastrop County,"300 Sayers Rd, Bastrop, TX 78602",30.168179,-97.348183,,2004,,
Riverside West of Kaala,BCO,Bastrop County,"348 Riverside Dr, Bastrop, TX 78602",30.076395,-97.312096,,2009,Road is completely washed out,
260 Block of Joe Cole Ln,BCO,Bastrop County,"260 Joe Cole Ln, Smithville, TX 78957",29.964888,-97.145363,,2028,Road is closed due to washout,
200 Blk Jacobson Rd,BCO,Bastrop County,"200 Jacobson Rd, Del Valle, TX 78617",30.111088,-97.584259,,2064,,
290 @ County Line Rd,BCO,Bastrop County,"18800 US-290, Elgin, TX 78621",30.352276,-97.411942,,2081,,
East Austin @ RR Tracks,BCO,Bastrop County,"205 E Austin St, Elgin, TX 78621",30.346672,-97.368919,,2082,Roadway may flood rapidly,
TX1032 - Park Rd 1C @ Harmon Rd,BCO,Bastrop County,"300 Park Rd 1C, Smithville, TX 78957",30.109261,-97.249626,Buescher State Park entrance,2098,,
TX1033 Park Rd 1A @ Park Rd 1C,BCO,Bastrop County,"100 Park Rd 1A, Bastrop, TX, 78602",30.1129,-97.26786,Bastrop State Park,2099,,
TX1034 Park Rd 1C @ Park Rd 1E,BCO,Bastrop County,"2100 Park Rd 1C, Smithville, TX 78957",30.049189,-97.162743,Buescher State Park,2101,Roadway Closed around the entire Lake,
TX1035 Park Rd 1A @ refectory,BCO,Bastrop County,"100 Park Rd 1A, Bastrop, TX 78602",30.109131,-97.283119,Bastrop State Park entrance,2102,,
P3070 - Old San Antonio Rd @ Tributary in the 600 Blk,BCO,Bastrop County,"600 Old San Antonio Rd, Dale, TX 78616",30.027033,-97.584282,,2104,,
P2063 - Mark Young Rd @ Tributary,BCO,Bastrop County,"100 Mark Young Rd, Smithville, TX 78957",29.959169,-97.159309,,2107,Crossing is Open Pass with Caution,
P2064 - Mark Young Rd @ Tributary,BCO,Bastrop County,"200 Mark Young Rd, Smithville, TX 78957",29.9527,-97.159142,,2108,Crossing is Open Pass with Caution,
P2065 - Mark Young Rd,BCO,Bastrop County,"300 Mark Young Rd, Smithville, TX 78957",29.948175,-97.159027,,2109,Crossing is Open Pass with Caution,
P3071 - 3800 FM 535,BCO,Bastrop County,"3800 FM535, Cedar Creek, TX 78612",29.984707,-97.422379,,2110,,
COS1006 - SE Martin Luther King Dr,BCO,Bastrop County,"1000 SE Martin Luther King Dr, Smithville, TX 78957",30.000147,-97.152786,,2113,,
P2068 - Crafts Prairie Rd @ Mesa Pinto Dr,BCO,Bastrop County,"250 Crafts Prairie Rd, Bastrop, TX 78602",30.052687,-97.250786,,2114,,
P3072 - 300 FM 672,BCO,Bastrop County,"300 FM672 Dale, TX 78616",29.989796,-97.527908,,2115,,
P3073 - 500 FM 672,BCO,Bastrop County,"500 FM672 Dale, TX 78616",29.976933,-97.539192,,2116,,
P4045 - 2500 FM 1704 south of Woody Ln,BCO,Bastrop County,"2500 FM1704 Elgin, TX 78621",30.247625,-97.422241,,2131,,
P2069 - Powell Rd @ Tribuary West of Kellar Rd,BCO,Bastrop County,"5001 Powell Rd, Elgin, TX 78621",30.060041,-97.191025,,2144,,
P2074 - Big Bow (spillway) @ Indian Lake,BCO,Bastrop County,"300 Big Bow, Smithville, TX 78957",30.044922,-97.086548,,2151,,
P2075 - Circle Rd @ Pin Oak Creek,BCO,Bastrop County,"200 Circle Rd, Smithville, TX 78957",30.071442,-97.08223,,2152,,
Stockade Ranch Rd,BCO,Bastrop County,"2800 TX-21, Paige, TX 78659",30.217712,-97.114967,SH 21 to End of Road,2156,Road is flooded,
Lehman Ln,BCO,Bastrop County,"410 Lehman Ln, Bastrop, TX, 78602",30.012465,-97.415581,South of Humble Ln,2161,,
Lower Red Rock Rd,BCO,Bastrop County,"452 Humble Ln, Bastrop, TX 78602",30.007839,-97.406937,South of Humble Ln,2162,,
Post Oak Trl,BCO,Bastrop County,"203 Post Oak Trail, Cedar Creek, TX, 78612",30.104044,-97.550423,,2168,,
Turkey Ridge Rd,BCO,Bastrop County,"200 Turkey Ridge Rd, Cedar Creek, TX, 78612",30.015539,-97.537231,,2169,,
FM 812,BCO,Bastrop County,"100 Cam Del Sol, Del Valle, TX, 78617",30.093203,-97.597824,At Camino Del Sol,2170,,
Ponderosa Rd,BCO,Bastrop County,"120 Ponderosa Rd, Bastrop, TX, 78602",30.070633,-97.231033,,2172,,
Brody Ln,BCO,Bastrop County,"Brody Ln & Ponderosa Rd, Bastrop, TX, 78602",30.047083,-97.23764,,2173,Road is flooded,
Arbuckle Rd,BCO,Bastrop County,"145 Arbuckle Rd, Elgin, TX, 78621",30.286285,-97.379517,,2174,,
Whitehead St,BCO,Bastrop County,"144 Whitehead St, Smithville, TX 78957",30.002733,-97.148468,at NE 2nd St,2175,,
NE 1st St @ Marburger St,BCO,Bastrop County,"Marburger & NE 1st St, Smithville, TX 78957",30.001461,-97.147995,,2178,,
NE 6th St,BCO,Bastrop County,"Wilkes Cir & NE 6th St, Smithville, TX 78957",30.006235,-97.147057,Between Wilkes St and Whitehead St,2179,,
Faulkner Rd,BCO,Bastrop County,"1232 Faulkner Rd, Smithville, TX 78957",30.001434,-97.13916,At Oak Meadows Dr,2180,,
St Hwy 71,BCO,Bastrop County,"271 FM1209, Cedar Creek, TX, 78612",30.12224,-97.43293,East bound lane,2182,,
Sand Hiils Rd,BCO,Bastrop County,"300 Sand Hiils Rd, Red Rock, TX 78662",29.951818,-97.433235,,2184,"County Road is Open, Private 600 Blk Closed.",
Red Rock Ranch Rd,BCO,Bastrop County,"300 Red Rock Ranch Rd, Red Rock, TX 78662",29.917456,-97.406647,,2185,,
NE 8th St,BCO,Bastrop County,"800 Mills St, Smithville, TX 78957",30.010195,-97.151398,at Mills St,2187,,
FM 2104,BCO,Bastrop County,"369 FM 2104, Smithville, TX 78957",30.061934,-97.101898,,2188,,
Bateman Rd,BCO,Bastrop County,"Co Rd 265, Red Rock,TX 78662",29.934719,-97.458839,,2189,,
Jacobson Rd,BCO,Bastrop County,"16100 Jacobson Rd, Del Valle, TX 78617",30.123293,-97.598267,Maha Creek,2191,,
Cardinal Dr,BCO,Bastrop County,"627 Cardinal Dr, Paige, TX, 78659",30.187729,-97.208893,,2192,,
Pine St,BCO,Bastrop County,"1570 Pine St, Bastrop, TX 78602",30.10952,-97.309715,,2193,,
Hill St aka Dorothy Nichols Ln,BCO,Bastrop County,"1800 TX-230 Loop, Smithville, TX 78957",29.997864,-97.134712,at NE Loop 230,2195,,
Lamaloa Ln,BCO,Bastrop County,"380 Lamaloa Ln, Bastrop, TX 78602",30.090956,-97.318756,West of Rail Road,2196,,
Cleveland St,BCO,Bastrop County,"100 Cleveland St, Smithville, TX 78957",30.008085,-97.162231,Between 1st St and 2nd St,2197,,
NW 1st St,BCO,Bastrop County,"100 Gazley St, Smithville, TX 78957",30.00868,-97.16468,at Gazley St,2198,,
FM 969,BCO,Bastrop County,"1704 FM 969, Bastrop, TX 78602",30.200489,-97.434471,,2199,,
St Hwy 21,BCO,Bastrop County,"TX-21 & Co Rd 158, Paige, TX 78659",30.182495,-97.170166,West bound lanes,2200,,
FM 1704,BCO,Bastrop County,"2709 FM 1704, Elgin, TX, 78621",30.238482,-97.428207,,2201,,
S St Hwy 95,BCO,Bastrop County,"290 TX-95, Elgin, TX 78621",30.321922,-97.35791,Northbound Lane,2202,,
FM 535,BCO,Bastrop County,"2400 FM 535, Del Valle, TX 78617",29.93886,-97.321266,,2203,,
Shiloh Rd,BCO,Bastrop County,"250 Shiloh Rd, Bastrop, TX, 78602",30.092615,-97.367714,Between St Hwy 304 and FM 20,2204,,
Lone Star Rd,BCO,Bastrop County,"600 Lone Star Rd, Bastrop, TX, 78602",30.045609,-97.379707,,2205,,
McAllister Rd,BCO,Bastrop County,"339 McAllister Rd, Bastrop, TX 78602",30.076195,-97.262566,,2206,,
St Hwy 71,BCO,Bastrop County,"1981 Co Rd 427, Smithville, TX 78957",30.049154,-97.188927,West bound lanes at Kellar Rd,2207,,
FM 812,BCO,Bastrop County,"2200 FM812, Cedar Creek, TX 78612",30.069399,-97.569672,,2208,,
N Main St,BCO,Bastrop County,"2600 Main St, Bastrop, TX, 78602",30.131464,-97.320747,Bridge at Main St,2209,,
Old Sayers Rd,BCO,Bastrop County,"Old Sayers Rd & Smith Rd, Bastrop, TX 78602",30.152042,-97.329903,,2211,,
B J Mayes Rd,BCO,Bastrop County,"244 B J Mayes Rd, Bastrop, TX 78602",30.15362,-97.321091,,2212,,
FM 20,BCO,Bastrop County,"136 FM 20, Bastrop, TX 78602",30.109968,-97.373215,at TX-71,2213,,
FM 20,BCO,Bastrop County,"FM 20 & FM 535, Cedar Creek, TX 78612",30.004057,-97.43325,,2214,,
FM 20,BCO,Bastrop County,"1381 FM 20, Cedar Creek, TX 78612",30.028053,-97.426445,,2217,,
Jenkins Rd,BCO,Bastrop County,"200 Jenkins Rd, Cedar Creek, TX 78612",30.103542,-97.498566,,2220,,
Gotier Trace Rd,BCO,Bastrop County,"700 Gotier Trace Rd, Smithville, TX 78957",30.110912,-97.195282,,2223,,
Lower Red Rock Bridge @ SH-304 ,BCO,Bastrop County,"100 Lower Red Rock Rd, Bastrop, TX 78602",30.076603,-97.357605,,2224,,
462 Kelley Rd,BCO,Bastrop County,"462 Kelley Rd, Bastrop, TX 78602",30.150255,-97.235603,,2225,"Road is Open, Sink Hole repaired on one side of road",
Jones St,BCO,Bastrop County,"900 Jones St, Smithville, TX 78957",29.996708,-97.160217,,2226,,
Prim Rd,BCO,Bastrop County,"692 Old Lake Rd, Smithville, TX 78957",29.968996,-97.124237,"100 ft, from Old Lake Rd",2227,,
Hillcrest Dr,BCO,Bastrop County,"115 Hillcrest Dr, Bastrop, TX 78602",30.13723,-97.252853,,2228,,
Cardinal Dr,BCO,Bastrop County,"600 Cardinal Dr, Paige, TX 78659",30.178679,-97.218605,,2231,,
Riverwood Dr,BCO,Bastrop County,"111 Riverwood Dr, Bastrop, TX 78602",30.120583,-97.329819,,2232,,
FM 20,BCO,Bastrop County,"1300 FM-20, Cedar Creek, TX 78612",30.035187,-97.423286,,2233,,
Park Road 1C,BCO,Bastrop County,"Park Road 1C, Smithville, TX 78957",30.089668,-97.192421,"Bridge at Park Road 1C, TXDOT",2236,,
NE 7th St,BCO,Bastrop County,"NE 7th St & Whitehead St, Smithville, TX 78957",30.006868,-97.146088,,2239,,
Woodress St.,BCO,Bastrop County,"1500 Woodress St, Smithville, TX 78957",30.000746,-97.148308,,2266,,
Community Center Rd,BCO,Bastrop County,"200 Community Center Rd, Rosanky, TX 78953",29.886925,-97.35675,,2271,,
County Line Rd,BCO,Bastrop County,"300 Co Rd 299, Smithville, TX 78957",30.091393,-97.058067,,2285,,
Alum Creek East,BCO,Bastrop County,"135 Alum Creek E, Smithville, TX 78957",30.069551,-97.222382,Off SH 71,2289,,
FM 20 & Humble Ln,BCO,Bastrop County,"FM 20 & Humble Ln, Bastrop, TX 78602",30.021744,-97.428169,,2293,,
Pine Valley Loop,BCO,Bastrop County,"600 Pine Valley Loop, Smithville, TX 78957",29.959761,-97.322014,,2294,,
Norma Jean Blvd,BCO,Bastrop County,"200 Norma Jean Blvd, Smithville, TX 78957",30.045273,-97.18644,,2302,,
Old Sayers Rd,BCO,Bastrop County,"1750 Old Sayers Rd, Elgin, TX 78621",30.238274,-97.339493,,2305,,
Wolf Rd & Marlin St,BCO,Bastrop County,"100 Wolf Rd, McDade, TX 78650",30.297363,-97.205132,,2306,,
Wolf Rd & Knobbs Rd,BCO,Bastrop County,"400 Wolf Rd, McDade, TX 78650",30.31596,-97.224083,,2307,,
Easley Rd,BCO,Bastrop County,"500 Easley Rd, Smithville, TX 78957",29.952106,-97.291084,,2312,,
Easley Rd,BCO,Bastrop County,"200 Easley Rd, Smithville, TX 78957",29.983295,-97.275032,,2313,,
Maunalua Dr,BCO,Bastrop County,"100 Maunalua Dr, Bastrop, TX 78602",30.089396,-97.315506,,2316,,
Bateman Rd,BCO,Bastrop County,"800 Bateman Rd, Red Rock, TX 78662",29.923016,-97.441055,,2317,,
Martin Luther King @ Bunte St,BCO,Bastrop County,"MLK @ Bunte St, Smithville, TX 78957",29.99795,-97.147629,,2320,,
SE 2nd St @ Bunte,BCO,Bastrop County,"SE 2nd @ Bunte St, Smithville, TX 78957",29.998795,-97.147171,,2321,,
SE 1st St @ Bunte St,BCO,Bastrop County,"SE 1st St @ Bunte St, Smithville, TX 78957",29.999577,-97.146683,,2322,,
Martin Luther King @ Miller St,BCO,Bastrop County,"Martin Luther King Dr @ Miller St, Smithville, TX 78957",29.998751,-97.149483,,2323,,
2nd Ave @ Hickory St,BCO,Bastrop County,"102 2nd Ave, Smithville, TX, 78957",30.011484,-97.171509,,2324,,
TX1002 - FM 535 @ Watterson School Rd,BCO,Bastrop County,"3672 FM 535, Red Rock, TX 78662",29.97855,-97.414001,,2325,,
Marburger St between 5th & 6th,BCO,Bastrop County,"500 Marburger St, Smithville, TX, 78957",30.005213,-97.145821,,2326,,
Turney St @ 4th St,BCO,Bastrop County,"NE 4th St & Turney St, Smithville, TX 78957",30.005539,-97.150436,,2327,,
Byrne St @ 4th St,BCO,Bastrop County,"398 Byrne St, Smithville, TX, 78957",30.005022,-97.149529,,2328,,
Hill Rd @ SH 71,BCO,Bastrop County,"400 Hill Rd, Smithville, TX, 78957",30.005501,-97.134911,,2329,,
Crafts Prairie Rd,BCO,Bastrop County,"200 Crafts Prairie Rd, Smithville, TX 78957",30.052462,-97.247444,,2330,,
Akaloa Dr,BCO,Bastrop County,Akaloa Dr at Wahane Ln,30.08073,-97.290314,,2331,,
Blue Jay Rd,BCO,Bastrop County,100 blk Blue Jay Rd,30.006632,-97.563454,,2332,,
Karisch Rd,BCO,Bastrop County,300 blk Karish Rd,30.042641,-97.069099,,2333,,
Ponderosa Rd,BCO,Bastrop County,700 blk Ponderosa Rd,30.034109,-97.220215,,2334,,
Hidden Shores Rd,BCO,Bastrop County,"100 Hidden Shores Rd, Bastrop, TX 78602",30.025503,-97.198914,,2335,,
Hidden Shores Loop,BCO,Bastrop County,"100 Hidden Shores Loop, Smithville, TX 78957",30.043644,-97.200676,,2336,,
Post Oak Trl,BCO,Bastrop County,"109 Post Oak Trail, Cedar Creek, TX 78612",30.10821,-97.54258,Entire Road,2337,,
FM 2571,BCO,Bastrop County,"1200 FM 2571, Smithville, TX 78957",30.009134,-97.246002,TXDOT; Bend in Colorado River Area,2345,,
SH 71 Eastbound,BCO,Bastrop County,"300 TX-71, Smithville, TX 78957",29.997698,-97.129143,Eastbound,2357,,Do we need to combine crossing 2357 & crossing 2358?
E SH 71,BCO,Bastrop County,"300 TX-71, Smithville, TX 78957",29.994781,-97.128181,,2358,,
Lower Red Rock Rd,BCO,Bastrop County,"400 Lower Red Rock Rd, Bastrop, TX 78602",30.024183,-97.380119,,2359,,
Ott Lane,BCO,Bastrop County,"300-400 Ott Lane, Elgin, TX 78621",29.862024,-97.393967,,2361,,
Circle Rd,BCO,Bastrop County,"Pin Oak Circle & Pin Oak Circle, Elgin, TX 78621",30.073074,-97.08194,,2378,,
West Ridge Dr,BCO,Bastrop County,"100 West Ridge Dr, Cedar Creek, TX 78612",30.100183,-97.437729,,2379,,
FM 2571,BCO,Bastrop County,"FM 2571 Smithville, TX 78957",30.020102,-97.215591,"3.5 miles west of St Hwy 95, just east of Rutherford Ln",2382,Road is closed due to damage,
Reids Bend @ Sink Hole,BCO,Bastrop County,"180-350 Reids Bend, Bastrop, TX 78602",30.128698,-97.335648,,2384,Reids Bend is Closed Between Smith Rd & Carter St,
Foothill Rd,BCO,Bastrop County,"202-261 Foothill Rd, Bastrop, TX 78602",30.187031,-97.294701,,2385,Road Opened - Temporarily,