Display Name,Display Community,Jurisdiction Code,Street Address,lat,lng,Additional Description,id
Barton Springs Road,ALL,,"2000 W Barton Springs Road, Austin, TX 78704",30.264969,-97.764992,,716
Ramp from NB 183 to MoPac,ALL,,"MoPac Expy & US-183 & N Mopac Expy, Austin, TX 78759",30.378557,-97.738068,Ramp from NB 183 to MoPac,920
Old San Antonio @ 1626,ALL,,"11198 Old San Antonio Rd., Austin, TX 78748",30.142878,-97.801559,,1097
River Rd at Loma Vista,ALL,,"600 River Rd, Wimberley, TX 78676",29.993029,-98.100533,,1143
Convict Hill near Latta,ALL,,"4900 Convict Hill Rd, Austin, TX 78749",30.217197,-97.850754,,1169
"Low Water Crossing #1, ",City of Austin,COA,"6019 Spicewood Springs, Austin, TX 78759",30.390406,-97.774994,,1
Low Water Crossing #2,City of Austin,COA,"6020 Spicewood Springs Rd, Austin, TX 78759",30.391405,-97.77845,,2
Low Water Crossing #3,City of Austin,COA,"6650 Spicewood Springs Rd, Austin, TX 78759",30.397104,-97.7789,,3
Low Water Crossing #4,City of Austin,COA,"6836 Spicewood Springs Rd, Austin, TX 78759",30.399363,-97.783081,,4
Low Water Crossing #5,City of Austin,COA,"7003 Spicewood Springs Rd Austin, TX 78759",30.404879,-97.788383,,5
Low Water Crossing #6,City of Austin,COA,"7748 Spicewood Springs Rd, Austin, TX 78759",30.416759,-97.795227,,6
Low Water Crossing #7,City of Austin,COA,"7882 Spicewood Springs Rd, Austin, TX 78759",30.420071,-97.793816,,7
Low Water Crossing #10,City of Austin,COA,"6700 Lakewood Dr, Austin, TX 78731",30.366344,-97.787018,,8
Low Water Crossing #11,City of Austin,COA,"5328 Old Spicewood Springs Rd Austin, TX 78731",30.383081,-97.768349,,9
Low Water Crossing #12,City of Austin,COA,"5352 Old Spicewood Springs Rd, Austin, TX 78731",30.382622,-97.76973,,10
Low Water Crossing #13,City of Austin,COA,"5450 Old Spicewood Springs Road, Austin TX 78731",30.382612,-97.77037,,11
Low Water Crossing #20,City of Austin,COA,"6765 Old Bee Caves Rd, Austin, TX 78735",30.235039,-97.871414,,12
Low Water Crossing #21,City of Austin,COA,"6334 Joe Tanner Ln, Austin, TX 78749",30.234055,-97.857742,,13
Low Water Crossing #22,City of Austin,COA,"5003 Wasson Rd, Austin, TX 78745",30.210482,-97.771172,,14
Low Water Crossing #30,City of Austin,COA,"3523 McNeil Dr, Austin, TX 78727",30.433285,-97.701256,,15
Low Water Crossing #31,City of Austin,COA,"12400 Waters Park Rd, Austin, TX 78759",30.418852,-97.707306,,16
Low Water Crossing #32,City of Austin,COA,"3144 Adelphi Ln, Austin, TX 78727",30.419043,-97.710564,,17
Low Water Crossing #33,City of Austin,COA,"12218 Waters Park Rd, Austin, TX 78758",30.415836,-97.709892,,18
Low Water Crossing #34,City of Austin,COA,"2809 Oneal Lane, Austin, TX 78759",30.418734,-97.706612,,19
Low Water Crossing #40,City of Austin,COA,"10131 Old San Antonio Rd, Austin, TX 78748",30.153522,-97.795372,,20
Low Water Crossing #41,City of Austin,COA,"10131 David Moore Dr, Austin, TX 78748",30.164919,-97.813972,,21
Low Water Crossing #50,City of Austin,COA,"12784 Cameron Rd, Austin, TX 78754",30.36647,-97.615974,,22
Low Water Crossing #51,City of Austin,COA,"12275 Cameron Rd, Austin, TX 78754",30.365187,-97.620033,,23
Low Water Crossing #60,City of Austin,COA,"2326 River Hills Rd, Austin, TX 78733",30.340532,-97.850266,,24
Low Water Crossing #61,City of Austin,COA,"2219 River Hills Road, Austin, TX 78733",30.339327,-97.84993,,25
Low Water Crossing #70,City of Austin,COA,"3101 Delwau, Austin, TX 78725",30.262674,-97.66848,,26
Low Water Crossing #80,City of Austin,COA,"2573 Hoeke Ln, Austin, TX 78744",30.213947,-97.68866,,27
Low Water Crossing #81,City of Austin,COA,"7819 Posten Ln, Austin, TX 78744",30.214373,-97.687706,,28
Low Water Crossing #82,City of Austin,COA,"7001 Colton-Bluff Springs Road, Austin, TX 78744",30.159782,-97.736015,,29
Woodview Mobile Home Park,City of Austin,COA,"1301 W Oltorf St, Austin, TX 78704",30.244511,-97.769783,,30
Circle C Park,City of Austin,COA,"6301 W Slaughter Ln, Austin, TX 78739",30.201567,-97.886627,,31
Jimmy Clay Golf Course,City of Austin,COA,"5400 Jimmy Clay Dr, Austin, TX 78744",30.189495,-97.73278,,32
Bull Creek Park,City of Austin,COA,"7900 N Capital of Texas Hwy, Austin, TX 78750",30.378298,-97.778931,,33
Brodie Lane and Graybuck Road,City of Austin,COA,"10076 Brodie Lane, Austin, TX 78748",30.18185,-97.850922,,34
Johnny Morris & MLK Blvd,City of Austin,COA,"5802-5100 Johnny Morris Rd, Austin, TX 78724",30.284103,-97.652611,,35
Hemphill at W 32nd,City of Austin,COA,"301 W 32nd St, Austin, TX 78705",30.297943,-97.738976,,36
Williamson Creek at Jones Road,City of Austin,COA,"2400 Jones Rd, Austin TX 78745",30.223421,-97.799438,,37
Williamson Creek (Kincheon Branch) at Latta Dr,City of Austin,COA,"7000 Latta Dr, Austin, TX 78749",30.216385,-97.846275,near MoPac frontage road,38
South Boggy Creek at Dittmar,City of Austin,COA,"W Dittmar Rd, Austin, TX 78748",30.183256,-97.783516,West of South Congress Ave,39
Shoal Creek at Lamar,City of Austin,COA,"910 N Lamar Blvd, Austin, TX 78703",30.274645,-97.752441,"Downtown, near Shoal Creek Saloon",40
Waller at 8th Street,City of Austin,COA,"715 E 8th St, Austin, TX 78701",30.268042,-97.735733,,41
Slaughter Creek Trail,City of Austin,COA,"9925 FM 1826, Austin, TX 78737",30.209352,-97.903442,,120
Loyola at 183,City of Austin,COA,"5470 Loyola Ln, Austin, TX 78723",30.30271,-97.661308,,666
3700-4500 block of Manor Rd.,City of Austin,COA,"3918 Manor Rd, Austin, TX 78723",30.289951,-97.693581,,667
1124 Rutland Drive,City of Austin,COA,"1124 Rutland Drive, Austin, TX 78758",30.369398,-97.703384,,669
W 9th St and N Lamar Blvd,City of Austin,COA,"998 W 9th St, Austin, TX 78703",30.273918,-97.752777,,671
805 Payton Gin Rd,City of Austin,COA,"805 Payton Gin Rd, Austin, TX 78753",30.358139,-97.701157,,672
Mopac at Steck,City of Austin,COA,"7500 N Mopac Expy, Austin, TX 78757",30.367212,-97.742874,,673
6600 Silvermine Drive,City of Austin,COA,"6600 Silvermine Drive, Austin, TX 78735",30.247019,-97.888397,,674
Westgate Blvd @ Williamson Creek,City of Austin,COA,"5407 West Gate Blvd, Austin, TX 78745",30.221277,-97.804886,,680
Old San Antonio Rd @ I-35,City of Austin,COA,"9900 S IH 35 Frontage Rd, Austin, TX 78748",30.154083,-97.79261,,682
Manchaca Rd & Jones Rd,City of Austin,COA,"Manchaca Rd & Jones Rd Austin, TX 78745 ",30.220797,-97.794067,,692
11900 Brodie Lane,City of Austin,COA,"11900 Brodie Lane, Austin, TX 78748",30.169113,-97.859795,,693
Frate Barker & Brodie,City of Austin,COA,"2746 Frate Barker Road, Austin, TX 78748",30.148464,-97.854881,at Brodie Ln,695
9100 W State Highway 71,City of Austin,COA,"9100 W State Highway 71, Austin, TX 78736",30.257412,-97.90461,,698
Pedernales Canyon Trail,City of Austin,COA,"25008 Pedernales Canyon Trail, Spicewood, TX 78669",30.369465,-98.086914,Low water crossing at Canyon Ranch Trail S,699
Convict Hill & Brush Country,City of Austin,COA,"7211-7191 Brush Country Rd. Austin, TX 78749",30.216908,-97.845901,near Mopac underpass,700
3700 Wyldwood Road,City of Austin,COA,"3700 Wyldwood Road, Austin TX 78739",30.175661,-97.85804,,702
6900 Pleasant Valley,City of Austin,COA,"6900 Pleasant Valley, Austin, TX 78744",30.176132,-97.749519,,711
MLK @ Clifford,City of Austin,COA,"2915 Martin Luther King Jr Blvd, Austin, TX 78702",30.281923,-97.707939,,1359
Berkman @ 290,City of Austin,COA,"6700 Berkman Dr, Austin, TX 78723",30.320995,-97.688995,,1360
Red River @ 12th,City of Austin,COA,"500 E 12th St, Austin, TX 78701",30.272472,-97.735596,,1361
10291 FM 969,City of Austin,COA,"10291 FM 969, Austin, TX 78724",30.264412,-97.623116,,1362
Cameron Rd & Corona Dr,City of Austin,COA,"5515 Cameron Rd, Austin TX 78723",30.313068,-97.705025,,1363
Rosewood @ Hargrave,City of Austin,COA,"2365 Rosewood Ave, Austin TX 78702",30.27099,-97.711288,,1370
East William Cannon & Pleasant Valley,City of Austin,COA,"6450 S Pleasant Valley Rd, Austin, TX 78744",30.181608,-97.746414,,1632
Pleasant Valley & Quicksilver Dr,City of Austin,COA,"7298 S Pleasant Valley Rd, Austin, TX 78744",30.172297,-97.752357,,1633