name,jurisdiction code,Display Community,address,lat,lng,Additional description,id,Notes,Manual updates needed for launch
1000 blk Hutto Rd,PFL,City of Pflugerville,"1000 Old Austin Hutto Rd, Pflugerville, TX 78660",30.444635,-97.606705,,2340,,
1000 blk Immanuel Rd,PFL,City of Pflugerville,"1000 Immanuel Rd, Pflugerville, TX, 78660",30.424711,-97.617149,,2341,,
Mammoth Cave Blvd & N Cascades Ave,PFL,City of Pflugerville,"N Cascades Ave & Mammoth Cave Blvd, Pflugerville, TX 78660",30.460487,-97.615211,,2342,,
2200 blk Kelly Ln,PFL,City of Pflugerville,"2200 Kelly Ln, Pflugerville, TX 78660",30.467777,-97.585007,,2344,,
1700 blk E Pecan St,PFL,City of Pflugerville,"4200 E Pecan St, Pflugerville, TX 78660",30.431669,-97.603508,,2346,,
3600 blk E Pflugerville Pkwy,PFL,City of Pflugerville,"5000 E Pflugerville Pkwy, Pflugerville, TX 78660",30.442114,-97.578987,,2347,,
2500 blk E Pecan St,PFL,City of Pflugerville,"2500 E Pecan St, Pflugerville, TX 78660",30.424891,-97.590706,,2348,,
Immanuel Rd & E Pecan St,PFL,City of Pflugerville,"Immanuel Rd & E Pecan St, Pflugerville, TX 78660",30.434956,-97.610466,,2349,,
E Pecan St & Plumbago Dr,PFL,City of Pflugerville,"E Pecan St & Plumbago Dr, Pflugerville, TX 78660",30.432678,-97.605682,,2350,,
FM 685 & E Pflugerville Pkwy,PFL,City of Pflugerville,"FM 685 & E Pflugerville Pkwy, Pflugerville, TX 78660",30.455914,-97.602081,,2351,,
700 blk N Railroad Ave,PFL,City of Pflugerville,"700 N Railroad Ave, Pflugerville, TX 78660",30.445145,-97.618156,,2352,,
1400 blk Grand Avenue Pkwy,PFL,City of Pflugerville,"1400 Grand Avenue Pkwy, Pflugerville, TX 78660",30.459835,-97.649223,,2353,,
Kelly Ln & Vilamoura St,PFL,City of Pflugerville,"Kelly Ln & Vilamoura St, Pflugerville, TX 78660",30.462919,-97.574684,,2354,,
FM 685 & Pfennig Ln,PFL,City of Pflugerville,"FM 685 & Pfennig Ln, Pflugerville, TX 78660",30.450813,-97.60495,,2355,,
E Pfennig Ln & E Black Locust Dr,PFL,City of Pflugerville,"Pfennig Ln & E Black Locust Dr, Pflugerville, TX 78660",30.454319,-97.622551,,2356,,